Car URL,Encoded City,Ignition Type,Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Ownership History,Car Manufacturer,Car Model,Car Model Year,Car Variant,Car Price,Mileage (km/l),Engine Capacity (L),Max Power (hp),Torque (Nm),Seats Capacity,Wheel Size (inches),Year of Registration,Fuel Type (Overview),Seats (Overview),Kilometers Driven (Overview),RTO Location,Ownership Type,Engine Displacement (L),Transmission (Overview),Year of Manufacture,Log of Car Price,Log of Overview Kilometers Driven,Log of Engine Capacity,Log of Max Power,Engine Capacity Binned,Wheel Size Binned,Engine and Torque Interaction,Car Age (years),Encoded Variant Name,Trending Text Length,Has Power Steering,Mileage Binned
6663,3,0,3,3,100000,1,1,1,20,184,2009,1265,225000.0,17.3,1061,57.5,7.8,5,13.0,2009.0,3,5,100000,409,1,1061,1,2009,12.323860125621126,11.51293546492023,6.967909201801884,4.069026754237811,3,1,8275.8,14.0,1,151,0,2
4279,3,0,4,3,73000,1,2,2,9,77,2014,861,400000.0,18.9,1197,82.0,114.0,5,14.0,2016.0,4,5,73000,262,3,1197,1,2014,12.899222326086994,11.19822841866684,7.088408778675395,4.418840607796598,3,1,136458.0,7.0,14,151,1,2
3663,3,0,4,9,30000,0,1,1,8,64,2022,2036,2250000.0,26.5,1498,96.55,127.0,5,16.0,2022.0,4,5,30000,345,1,1498,0,2022,14.626441218624949,10.308985993422082,7.312553498102598,4.5803650670691205,3,0,190246.0,1.0,1,151,1,0
1885,3,0,4,9,32152,0,1,1,20,180,2018,790,707000.0,21.21,1197,81.8,113.0,5,0.0,2016.0,4,5,32152,345,1,1197,0,2018,13.468787359304866,10.378261037909617,7.088408778675395,4.416428061391214,3,2,135261.0,7.0,27,151,1,0
2015,3,0,1,3,58241,1,1,1,20,179,2015,1765,576000.0,25.2,1248,74.0,190.0,5,0.0,2016.0,1,5,58241,344,1,1248,1,2015,13.263864675787632,10.972362022940281,7.130098510125578,4.31748811353631,3,2,237120.0,7.0,23,151,1,0
6106,3,0,1,5,120000,1,2,2,20,165,2014,1764,560000.0,20.77,1248,88.76,200.0,7,0.0,2014.0,1,7,120000,339,3,1248,1,2014,13.235693848424024,11.695255355062795,7.130098510125578,4.497139441774387,3,2,249600.0,9.0,78,151,1,0
272,3,0,4,9,94141,1,2,2,8,63,2013,1046,455999.99999999994,16.8,1497,116.3,146.0,5,15.0,2016.0,4,5,94141,23,3,1497,1,2013,13.030250281476574,11.452559559683786,7.311886164077165,4.76473475565943,3,1,218562.0,7.0,5,151,1,2
1905,3,0,4,9,59411,0,1,1,20,180,2017,796,685000.0,21.21,1197,81.8,113.0,5,15.0,2016.0,4,5,59411,345,1,1197,0,2017,13.437175577097312,10.992251505149424,7.088408778675395,4.416428061391214,3,1,135261.0,7.0,7,151,1,0
2739,3,0,4,9,17105,1,1,1,31,298,2016,248,1205000.0,14.69,1390,120.3,200.0,5,16.0,2016.0,4,5,17105,346,1,1390,1,2016,14.001990954782066,9.747184558140727,7.237778191923443,4.798266815950004,3,0,278000.0,7.0,6,151,1,2
5984,3,0,1,9,37100,1,2,2,20,163,2018,184,975000.0,28.09,1248,88.5,200.0,5,16.0,2016.0,1,5,37100,344,3,1248,1,2018,13.790193775620484,10.521399202410167,7.130098510125578,4.4942386252808095,3,0,249600.0,7.0,13,151,1,0
